driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
3,3,4,7,80000.0,80000.0,80000.0,4
3,131,3,1,69000.0,68000.0,68000.0,1
3,131,1,1,91000.0,90000.0,90000.0,1
3,131,4,3,95000.0,95000.0,94000.0,4
3,131,1,1,77000.0,76000.0,75000.0,1
3,131,1,2,76000.0,75000.0,74000.0,1
3,131,1,4,85000.0,83000.0,82000.0,1
3,131,1,2,127000.0,126000.0,125000.0,1
3,131,2,3,112000.0,107000.0,110000.0,4
3,131,2,2,100000.0,99000.0,99000.0,1
3,3,10,4,73000.0,72000.0,73000.0,4
3,131,4,5,95000.0,95000.0,94000.0,5
3,131,2,5,85000.0,86000.0,87000.0,2
3,131,2,2,86000.0,86000.0,85000.0,1
3,131,6,7,75000.0,74000.0,74000.0,4
3,131,6,5,87000.0,87000.0,86000.0,4
3,131,1,2,95000.0,93000.0,93000.0,1
3,131,4,2,116000.0,115000.0,115000.0,1
3,3,5,6,106000.0,106000.0,107000.0,4
3,131,2,1,76000.0,75000.0,75000.0,1
3,131,2,2,75000.0,74000.0,74000.0,1
3,131,7,6,101000.0,99000.0,99000.0,4
3,3,9,8,98000.0,98000.0,100000.0,7
3,131,3,3,94000.0,93000.0,93000.0,1
3,131,1,1,86000.0,85000.0,84000.0,1
3,3,7,5,79000.0,78000.0,80000.0,5
3,131,3,3,99000.0,99000.0,110000.0,1
3,131,2,2,98000.0,96000.0,95000.0,1
3,3,5,4,80000.0,80000.0,81000.0,6
3,3,7,5,99000.0,98000.0,100000.0,6
3,131,2,8,82000.0,82000.0,82000.0,1
3,131,2,2,108000.0,107000.0,107000.0,1
3,131,2,1,70000.0,68000.0,68000.0,1
3,131,2,2,93000.0,92000.0,92000.0,1
3,3,8,2,105000.0,104000.0,106000.0,8
3,131,7,8,98000.0,97000.0,97000.0,4
3,131,7,6,86000.0,85000.0,85000.0,4
4,117,10,8,76000.0,76000.0,77000.0,5
4,6,8,1,98000.0,97000.0,97000.0,3
4,4,3,8,75000.0,75000.0,76000.0,7
4,117,5,6,89000.0,89000.0,88000.0,5
4,6,6,5,98000.0,97000.0,96000.0,3
4,6,9,2,120000.0,108000.0,123000.0,3
4,6,1,1,106000.0,105000.0,105000.0,3
4,117,5,3,91000.0,90000.0,90000.0,2
4,6,9,3,92000.0,91000.0,90000.0,3
4,6,3,8,92000.0,93000.0,92000.0,3
4,6,4,3,92000.0,91000.0,91000.0,3
4,6,3,1,97000.0,96000.0,95000.0,3
4,4,7,4,80000.0,79000.0,81000.0,5
4,117,9,7,89000.0,88000.0,87000.0,3
4,117,2,2,72000.0,72000.0,71000.0,2
4,6,3,14,90000.0,90000.0,90000.0,3
4,6,2,1,74000.0,74000.0,73000.0,3
4,6,3,2,81000.0,80000.0,79000.0,3
4,6,6,7,83000.0,76000.0,74000.0,2
4,6,6,2,83000.0,88000.0,86000.0,2
4,6,5,5,80000.0,80000.0,79000.0,3
4,4,10,10,92000.0,92000.0,95000.0,6
4,6,5,4,107000.0,105000.0,104000.0,3
4,6,1,1,82000.0,82000.0,81000.0,3
4,6,8,4,92000.0,91000.0,91000.0,2
4,6,5,2,84000.0,84000.0,84000.0,2
4,6,7,2,105000.0,104000.0,103000.0,2
4,214,14,7,96000.0,95000.0,95000.0,4
4,6,8,4,90000.0,89000.0,91000.0,3
4,4,8,4,96000.0,96000.0,99000.0,5
4,117,8,7,81000.0,81000.0,81000.0,5
4,6,7,3,97000.0,97000.0,97000.0,2
4,117,8,9,83000.0,83000.0,83000.0,5
4,117,6,4,101000.0,101000.0,101000.0,2
4,4,5,1,90000.0,90000.0,90000.0,1
4,117,2,2,81000.0,79000.0,87000.0,3
4,4,3,2,87000.0,86000.0,87000.0,1
4,4,1,2,104000.0,103000.0,104000.0,1
4,117,2,3,88000.0,87000.0,87000.0,2
4,117,2,3,89000.0,88000.0,88000.0,2
4,117,4,3,77000.0,77000.0,77000.0,2
4,214,17,5,73000.0,71000.0,72000.0,4
4,6,5,2,101000.0,99000.0,99000.0,3
4,117,7,6,103000.0,102000.0,102000.0,5
4,6,5,4,73000.0,72000.0,72000.0,3
4,6,5,3,116000.0,115000.0,115000.0,4
4,1,4,2,95000.0,95000.0,96000.0,11
4,117,9,14,90000.0,85000.0,88000.0,5
4,4,8,10,87000.0,87000.0,89000.0,7
4,214,8,6,102000.0,102000.0,102000.0,7
4,6,3,3,86000.0,85000.0,84000.0,3
4,4,8,6,99000.0,98000.0,100000.0,7
4,6,4,3,84000.0,83000.0,82000.0,3
4,4,4,1,78000.0,77000.0,78000.0,4
4,4,1,1,74000.0,73000.0,73000.0,1
4,214,2,9,92000.0,84000.0,81000.0,5
4,214,7,5,101000.0,102000.0,102000.0,5
4,1,4,3,72000.0,72000.0,72000.0,11
4,4,4,1,92000.0,91000.0,91000.0,1
4,6,5,2,86000.0,84000.0,83000.0,3
4,1,9,10,101000.0,101000.0,101000.0,6
4,4,6,4,107000.0,106000.0,108000.0,5
4,6,7,2,76000.0,73000.0,73000.0,2
4,4,7,2,95000.0,93000.0,95000.0,1
4,4,3,1,88000.0,85000.0,85000.0,1
4,214,7,7,73000.0,72000.0,72000.0,6
4,214,10,7,104000.0,103000.0,103000.0,5
4,6,6,2,101000.0,101000.0,101000.0,2
4,6,5,3,109000.0,107000.0,107000.0,3
4,117,3,7,95000.0,94000.0,94000.0,5
4,1,7,6,78000.0,77000.0,77000.0,9
